Category,Segment,Ticker,Name,AMC,CMP_Baseline,1W (%),1M (%),3M (%),6M (%),1Y (%),52W High,52W Low,30D_Volume_Baseline
US Equity – Broad Market,S&P 500,SPY,SPDR S&P 500 ETF Trust,SPDR,747.41,-0.98,0.41,5.52,8.09,20.17,757.62,614.91,55680695.0
US Equity – Broad Market,S&P 500 Low Cost,VOO,Vanguard S&P 500 ETF,Vanguard,687.03,-0.98,0.43,5.55,8.11,20.28,696.23,564.78,9627571.0
US Equity – Broad Market,Nasdaq 100,QQQ,Invesco QQQ Trust,Invesco,705.35,-1.73,-4.42,8.83,12.73,26.28,745.34,551.23,44863786.0
US Equity – Broad Market,Total US Market,VTI,Vanguard Total Stock Market ETF,Vanguard,368.87,-0.95,0.3,5.53,8.18,20.46,373.29,302.21,3332311.0
US Equity – Broad Market,Dow Jones 30,DIA,SPDR Dow Jones Industrial Average,SPDR,521.47,-0.82,0.88,5.89,5.97,18.96,529.94,429.25,4517979.0
US Equity – Broad Market,Russell 2000,IWM,iShares Russell 2000 ETF,iShares,293.79,-0.67,-1.47,6.78,12.82,32.95,300.45,212.71,25750898.0
US Equity – Broad Market,S&P 400 Mid Cap,IJH,iShares Core S&P Mid-Cap ETF,iShares,75.69,0.08,-0.5,4.09,9.88,20.04,77.11,61.29,7359568.0
US Equity – Broad Market,Equal Weight S&P 500,RSP,Invesco S&P 500 Equal Weight ETF,Invesco,212.7,-0.13,1.47,5.1,8.42,16.32,215.06,178.6,9828152.0
US Equity – Sector,Technology,XLK,Technology Select Sector SPDR,SPDR,180.27,-0.72,-6.18,16.93,23.11,40.04,197.97,127.35,11839817.0
US Equity – Sector,Financials,XLF,Financial Select Sector SPDR,SPDR,56.05,-0.9,4.38,7.28,2.25,8.05,56.75,47.64,35637556.0
US Equity – Sector,Healthcare,XLV,Health Care Select Sector SPDR,SPDR,159.43,0.72,6.24,7.62,2.17,21.48,164.44,126.8,10560593.0
US Equity – Sector,Energy,XLE,Energy Select Sector SPDR,SPDR,59.2,4.78,9.51,8.37,29.51,42.84,62.11,40.85,32911420.0
US Equity – Sector,Industrials,XLI,Industrial Select Sector SPDR,SPDR,178.85,-0.67,-1.62,3.33,10.19,19.95,185.56,146.55,7552350.0
US Equity – Sector,Consumer Disc,XLY,Consumer Discretionary SPDR,SPDR,114.02,-2.55,-0.8,-5.12,-8.07,1.92,124.02,105.45,8248448.0
US Equity – Sector,Consumer Staples,XLP,Consumer Staples SPDR,SPDR,84.38,1.09,2.68,3.04,6.56,6.25,88.89,74.06,11502811.0
US Equity – Sector,Materials,XLB,Materials Select Sector SPDR,SPDR,50.82,0.63,-1.55,-1.68,5.6,12.58,53.18,41.67,11328465.0
US Equity – Sector,Utilities,XLU,Utilities Select Sector SPDR,SPDR,45.93,1.57,2.71,0.14,9.32,11.02,47.1,40.19,19530742.0
US Equity – Sector,Real Estate,XLRE,Real Estate Select Sector SPDR,SPDR,45.01,1.01,2.25,2.08,12.53,8.97,45.46,39.28,5081315.0
US Equity – Sector,Comm Services,XLC,Communication Services SPDR,SPDR,109.2,-3.69,2.19,-8.07,-6.56,2.52,119.39,104.8,7073803.0
US Equity – Market Cap,Mega Cap,MGC,Vanguard Mega Cap ETF,Vanguard,273.66,-1.21,0.45,5.77,7.85,20.93,279.02,224.04,111400.0
US Equity – Market Cap,Large Cap,IVV,iShares Core S&P 500 ETF,iShares,750.93,-0.98,0.42,5.55,8.12,20.29,761.02,617.27,9966159.0
US Equity – Market Cap,Mid Cap,VO,Vanguard Mid-Cap ETF,Vanguard,80.49,0.05,0.37,5.18,8.37,14.24,80.94,68.76,3402328.0
US Equity – Market Cap,Micro Cap,IWC,iShares Micro-Cap ETF,iShares,190.13,-1.98,-1.85,5.38,14.06,42.66,200.29,126.4,88945.0
US Equity – Style,Large Cap Growth,IVW,iShares S&P 500 Growth ETF,iShares,135.97,-1.87,-0.67,6.06,8.89,21.91,141.46,108.61,2224290.0
US Equity – Style,Large Cap Value,IVE,iShares S&P 500 Value ETF,iShares,230.73,0.21,1.72,4.87,7.03,17.95,232.35,191.25,897798.0
US Equity – Style,Mid Cap Growth,IJK,iShares S&P Mid-Cap 400 Growth,iShares,113.13,-0.31,-2.76,3.14,11.32,22.25,117.5,91.06,278440.0
US Equity – Style,Mid Cap Value,IJJ,iShares S&P Mid-Cap 400 Value,iShares,147.79,0.43,1.92,4.84,8.24,17.42,149.29,120.46,203880.0
US Equity – Style,Small Cap Growth,IJT,iShares S&P Small-Cap 600 Growth,iShares,172.16,-1.06,0.48,7.88,16.55,27.99,178.6,130.4,203299.0
US Equity – Style,Small Cap Value,IJS,iShares S&P Small-Cap 600 Value,iShares,136.99,0.56,2.99,7.91,14.86,33.76,138.11,97.51,315192.0
Factor / Smart Beta,Quality,QUAL,iShares MSCI USA Quality Factor ETF,iShares,217.34,-1.12,0.7,5.22,6.84,18.7,220.66,180.62,1336991.0
Factor / Smart Beta,Momentum,MTUM,iShares MSCI USA Momentum Factor ETF,iShares,314.24,0.5,-8.97,14.62,21.59,33.22,345.22,230.52,1857529.0
Factor / Smart Beta,Value,VLUE,iShares MSCI USA Value Factor ETF,iShares,195.49,2.22,-4.25,23.99,37.11,73.5,204.59,109.42,1890958.0
Factor / Smart Beta,Min Volatility,USMV,iShares MSCI USA Min Vol Factor ETF,iShares,96.25,0.17,2.09,1.78,2.2,4.19,98.35,90.84,2185402.0
Factor / Smart Beta,Low Volatility,SPLV,Invesco S&P 500 Low Volatility ETF,Invesco,76.2,1.15,4.23,2.8,7.3,5.77,76.8,69.14,2437134.0
Factor / Smart Beta,High Dividend,HDV,iShares Core High Dividend ETF,iShares,28.35,2.53,5.21,6.87,16.19,22.62,28.36,22.86,4312837.0
Factor / Smart Beta,Dividend Growth,VIG,Vanguard Dividend Appreciation ETF,Vanguard,237.43,0.03,1.29,4.83,6.1,16.6,239.13,200.81,1198127.0
Factor / Smart Beta,Large Cap Multifactor,LRGF,iShares US Equity Factor ETF,iShares,76.11,-0.65,0.89,6.26,8.67,18.14,76.87,63.75,178793.0
Factor / Smart Beta,Buyback,PKW,Invesco Buyback Achievers ETF,Invesco,143.76,0.15,3.7,3.0,4.6,14.76,144.96,122.55,20232.0
Factor / Smart Beta,Profitability,VPU,Vanguard Utilities ETF,Vanguard,198.41,1.43,2.52,0.02,8.55,10.94,203.16,174.37,225497.0
